Measurement date,PM2.5,PM10
2017-01-01 00:00:00,57.0,73.0
2017-01-01 00:00:00,39.0,82.0
2017-01-01 00:00:00,49.0,63.0
2017-01-01 00:00:00,40.0,64.0
2017-01-01 00:00:00,57.0,75.0
2017-01-01 00:00:00,62.0,71.0
2017-01-01 00:00:00,68.0,70.0
2017-01-01 00:00:00,48.0,63.0
2017-01-01 00:00:00,46.0,73.0
2017-01-01 00:00:00,51.0,60.0
2017-01-01 00:00:00,46.0,70.0
2017-01-01 00:00:00,63.0,68.0
2017-01-01 00:00:00,44.0,81.0
2017-01-01 00:00:00,50.0,76.0
2017-01-01 00:00:00,65.0,107.0
2017-01-01 00:00:00,63.0,77.0
2017-01-01 00:00:00,53.0,68.0
2017-01-01 00:00:00,40.0,81.0
2017-01-01 00:00:00,48.0,75.0
2017-01-01 00:00:00,62.0,75.0
2017-01-01 00:00:00,38.0,62.0
2017-01-01 00:00:00,63.0,72.0
2017-01-01 00:00:00,50.0,91.0
2017-01-01 00:00:00,45.0,67.0
2017-01-01 00:00:00,51.0,63.0
2017-01-01 01:00:00,66.0,73.0
2017-01-01 01:00:00,59.0,71.0
2017-01-01 01:00:00,69.0,87.0
2017-01-01 01:00:00,44.0,67.0
2017-01-01 01:00:00,52.0,75.0
2017-01-01 01:00:00,49.0,74.0
2017-01-01 01:00:00,63.0,76.0
2017-01-01 01:00:00,37.0,71.0
2017-01-01 01:00:00,45.0,66.0
2017-01-01 01:00:00,54.0,86.0
2017-01-01 01:00:00,44.0,61.0
2017-01-01 01:00:00,38.0,61.0
2017-01-01 01:00:00,49.0,62.0
2017-01-01 01:00:00,63.0,78.0
2017-01-01 01:00:00,52.0,60.0
2017-01-01 01:00:00,62.0,71.0
2017-01-01 01:00:00,62.0,70.0
2017-01-01 01:00:00,49.0,62.0
2017-01-01 01:00:00,49.0,82.0
2017-01-01 01:00:00,43.0,65.0
2017-01-01 01:00:00,60.0,74.0
2017-01-01 01:00:00,61.0,64.0
2017-01-01 01:00:00,53.0,54.0
2017-01-01 01:00:00,51.0,70.0
2017-01-01 01:00:00,54.0,68.0
2017-01-01 02:00:00,59.0,70.0
2017-01-01 02:00:00,58.0,88.0
2017-01-01 02:00:00,44.0,71.0
2017-01-01 02:00:00,47.0,60.0
2017-01-01 02:00:00,43.0,57.0
2017-01-01 02:00:00,41.0,72.0
2017-01-01 02:00:00,43.0,84.0
2017-01-01 02:00:00,63.0,72.0
2017-01-01 02:00:00,44.0,82.0
2017-01-01 02:00:00,54.0,63.0
2017-01-01 02:00:00,51.0,74.0
2017-01-01 02:00:00,49.0,66.0
2017-01-01 02:00:00,65.0,67.0
2017-01-01 02:00:00,50.0,69.0
2017-01-01 02:00:00,54.0,71.0
2017-01-01 02:00:00,36.0,53.0
2017-01-01 02:00:00,48.0,65.0
2017-01-01 02:00:00,56.0,73.0
2017-01-01 02:00:00,42.0,63.0
2017-01-01 02:00:00,62.0,69.0
2017-01-01 02:00:00,38.0,68.0
2017-01-01 02:00:00,57.0,73.0
2017-01-01 02:00:00,60.0,74.0
2017-01-01 02:00:00,56.0,72.0
2017-01-01 02:00:00,59.0,73.0
2017-01-01 03:00:00,46.0,65.0
2017-01-01 03:00:00,40.0,56.0
2017-01-01 03:00:00,44.0,66.0
2017-01-01 03:00:00,53.0,78.0
2017-01-01 03:00:00,38.0,66.0
2017-01-01 03:00:00,44.0,79.0
2017-01-01 03:00:00,58.0,70.0
2017-01-01 03:00:00,53.0,63.0
2017-01-01 03:00:00,46.0,68.0
2017-01-01 03:00:00,58.0,69.0
2017-01-01 03:00:00,55.0,91.0
2017-01-01 03:00:00,47.0,65.0
2017-01-01 03:00:00,60.0,66.0
2017-01-01 03:00:00,48.0,61.0
2017-01-01 03:00:00,38.0,66.0
2017-01-01 03:00:00,45.0,54.0
2017-01-01 03:00:00,49.0,72.0
2017-01-01 03:00:00,63.0,70.0
2017-01-01 03:00:00,65.0,68.0
2017-01-01 03:00:00,49.0,73.0
2017-01-01 03:00:00,48.0,81.0
2017-01-01 03:00:00,57.0,73.0
2017-01-01 03:00:00,55.0,67.0
2017-01-01 03:00:00,42.0,85.0
2017-01-01 03:00:00,48.0,70.0
2017-01-01 04:00:00,48.0,66.0
2017-01-01 04:00:00,56.0,74.0
2017-01-01 04:00:00,45.0,59.0
2017-01-01 04:00:00,42.0,60.0
2017-01-01 04:00:00,38.0,67.0
2017-01-01 04:00:00,48.0,67.0
2017-01-01 04:00:00,61.0,66.0
2017-01-01 04:00:00,49.0,74.0
2017-01-01 04:00:00,61.0,69.0
2017-01-01 04:00:00,58.0,61.0
2017-01-01 04:00:00,30.0,61.0
2017-01-01 04:00:00,42.0,62.0
2017-01-01 04:00:00,39.0,52.0
2017-01-01 04:00:00,38.0,49.0
2017-01-01 04:00:00,35.0,79.0
2017-01-01 04:00:00,48.0,74.0
2017-01-01 04:00:00,50.0,64.0
2017-01-01 04:00:00,59.0,69.0
2017-01-01 04:00:00,40.0,73.0
2017-01-01 04:00:00,48.0,67.0
2017-01-01 04:00:00,54.0,66.0
2017-01-01 04:00:00,43.0,70.0
2017-01-01 04:00:00,43.0,48.0
2017-01-01 04:00:00,61.0,65.0
2017-01-01 04:00:00,57.0,69.0
2017-01-01 05:00:00,44.0,60.0
2017-01-01 05:00:00,31.0,53.0
2017-01-01 05:00:00,56.0,58.0
2017-01-01 05:00:00,38.0,72.0
2017-01-01 05:00:00,58.0,65.0
2017-01-01 05:00:00,59.0,68.0
2017-01-01 05:00:00,62.0,67.0
2017-01-01 05:00:00,51.0,63.0
2017-01-01 05:00:00,46.0,59.0
2017-01-01 05:00:00,38.0,45.0
2017-01-01 05:00:00,47.0,62.0
2017-01-01 05:00:00,55.0,66.0
2017-01-01 05:00:00,41.0,65.0
2017-01-01 05:00:00,62.0,59.0
2017-01-01 05:00:00,47.0,64.0
2017-01-01 05:00:00,40.0,60.0
2017-01-01 05:00:00,49.0,70.0
2017-01-01 05:00:00,31.0,57.0
2017-01-01 05:00:00,58.0,71.0
2017-01-01 05:00:00,59.0,62.0
2017-01-01 05:00:00,43.0,69.0
2017-01-01 05:00:00,28.0,58.0
2017-01-01 05:00:00,51.0,64.0
2017-01-01 05:00:00,61.0,70.0
2017-01-01 05:00:00,38.0,61.0
2017-01-01 06:00:00,34.0,51.0
2017-01-01 06:00:00,57.0,67.0
2017-01-01 06:00:00,58.0,74.0
2017-01-01 06:00:00,38.0,70.0
2017-01-01 06:00:00,61.0,66.0
2017-01-01 06:00:00,28.0,54.0
2017-01-01 06:00:00,63.0,69.0
2017-01-01 06:00:00,51.0,58.0
2017-01-01 06:00:00,45.0,47.0
2017-01-01 06:00:00,48.0,62.0
2017-01-01 06:00:00,35.0,56.0
2017-01-01 06:00:00,56.0,64.0
2017-01-01 06:00:00,58.0,64.0
2017-01-01 06:00:00,39.0,71.0
2017-01-01 06:00:00,45.0,64.0
2017-01-01 06:00:00,48.0,73.0
2017-01-01 06:00:00,43.0,71.0
2017-01-01 06:00:00,39.0,59.0
2017-01-01 06:00:00,56.0,70.0
2017-01-01 06:00:00,57.0,66.0
2017-01-01 06:00:00,51.0,63.0
2017-01-01 06:00:00,36.0,60.0
2017-01-01 06:00:00,38.0,67.0
2017-01-01 06:00:00,56.0,61.0
2017-01-01 06:00:00,52.0,63.0
2017-01-01 07:00:00,49.0,71.0
2017-01-01 07:00:00,52.0,64.0
2017-01-01 07:00:00,58.0,65.0
2017-01-01 07:00:00,41.0,70.0
2017-01-01 07:00:00,36.0,56.0
2017-01-01 07:00:00,63.0,71.0
2017-01-01 07:00:00,52.0,75.0
2017-01-01 07:00:00,46.0,61.0
2017-01-01 07:00:00,44.0,77.0
2017-01-01 07:00:00,60.0,71.0
2017-01-01 07:00:00,48.0,73.0
2017-01-01 07:00:00,31.0,57.0
2017-01-01 07:00:00,52.0,47.0
2017-01-01 07:00:00,48.0,76.0
2017-01-01 07:00:00,50.0,59.0
2017-01-01 07:00:00,56.0,63.0
2017-01-01 07:00:00,49.0,62.0
2017-01-01 07:00:00,38.0,63.0
2017-01-01 07:00:00,49.0,58.0
2017-01-01 07:00:00,42.0,61.0
2017-01-01 07:00:00,38.0,77.0
2017-01-01 07:00:00,64.0,77.0
2017-01-01 07:00:00,58.0,69.0
2017-01-01 07:00:00,30.0,52.0
2017-01-01 07:00:00,25.0,60.0
2017-01-01 08:00:00,51.0,77.0
2017-01-01 08:00:00,44.0,73.0
2017-01-01 08:00:00,44.0,56.0
2017-01-01 08:00:00,63.0,69.0
2017-01-01 08:00:00,44.0,87.0
2017-01-01 08:00:00,69.0,67.0
2017-01-01 08:00:00,52.0,76.0
2017-01-01 08:00:00,43.0,71.0
2017-01-01 08:00:00,51.0,64.0
2017-01-01 08:00:00,48.0,72.0
2017-01-01 08:00:00,55.0,70.0
2017-01-01 08:00:00,44.0,59.0
2017-01-01 08:00:00,42.0,63.0
2017-01-01 08:00:00,42.0,45.0
2017-01-01 08:00:00,45.0,66.0
2017-01-01 08:00:00,33.0,57.0
2017-01-01 08:00:00,60.0,76.0
2017-01-01 08:00:00,40.0,73.0
2017-01-01 08:00:00,60.0,72.0
2017-01-01 08:00:00,35.0,58.0
2017-01-01 08:00:00,52.0,68.0
2017-01-01 08:00:00,41.0,73.0
2017-01-01 08:00:00,59.0,67.0
2017-01-01 08:00:00,33.0,48.0
2017-01-01 08:00:00,52.0,67.0
2017-01-01 09:00:00,48.0,67.0
2017-01-01 09:00:00,46.0,80.0
2017-01-01 09:00:00,42.0,47.0
2017-01-01 09:00:00,45.0,66.0
2017-01-01 09:00:00,59.0,76.0
2017-01-01 09:00:00,29.0,71.0
2017-01-01 09:00:00,53.0,70.0
2017-01-01 09:00:00,61.0,59.0
2017-01-01 09:00:00,56.0,68.0
2017-01-01 09:00:00,39.0,57.0
2017-01-01 09:00:00,37.0,76.0
2017-01-01 09:00:00,56.0,69.0
2017-01-01 09:00:00,66.0,72.0
2017-01-01 09:00:00,48.0,51.0
2017-01-01 09:00:00,42.0,65.0
2017-01-01 09:00:00,58.0,79.0
2017-01-01 09:00:00,33.0,53.0
2017-01-01 09:00:00,63.0,66.0
2017-01-01 09:00:00,52.0,74.0
2017-01-01 09:00:00,63.0,74.0
2017-01-01 09:00:00,74.0,70.0
2017-01-01 09:00:00,54.0,72.0
